VAR,VAR
n,ident
,,simbolo_virgula
fat,ident
;,simbolo_ponto_virgula
BGIN,ident
n,ident
:=,simbolo_atribuicao
4,numero
;,simbolo_ponto_virgula
fat@,ERRO LEXICO => caracter invalido
:=,simbolo_atribuicao
1,numero
;,simbolo_ponto_virgula
WHILE,WHILE
n,ident
=,simbolo_comparacao
>,simbolo_maior
DO,DO
BEGIN,BEGIN
fat,ident
:=,simbolo_atribuicao
fat,ident
*,simbolo_multiplicacao
n,ident
;,simbolo_ponto_virgula
n,ident
:=,simbolo_atribuicao
n,ident
-,simbolo_menos
1,numero
;,simbolo_ponto_virgula
END,END
{,ERRO LEXICO => comentario nao fechado
},ERRO LEXICO => fechar comentario sem ter aberto
END,END
.,simbolo_ponto
